3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																
																	
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	серийный , номер   .	U/A, электронный номер 	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2	Примечание
	В-Казахстанская  	Кокпектинский	Малороссийка	4	Казахстан	DigiCipher-II	DSR-4400		000-03137-39691-236	2540-1719-1001-142	Основной 	"ПРМ АО ""Казтелерадио"""	жарык 1,6 м	нет			
	В-Казахстанская  	Кокпектинский	Малороссийка	40	Хабар	DigiCipher-II	DSR 402		000-03086-23663-064	7074-7407-2016-089	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Кокпектинский	Малороссийка		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Курчумский 	Маралды	9	Казахстан	DigiCipher-II	DSR 402		000-03086-23482-246	7074-7405-4005-216	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Курчумский 	Маралды	4	Хабар	DigiCipher-II	DSR-4400		000-03137-99409-101	2540-7816-3005-209	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Маралды	6	24Kz	DigiCipher-II	DSR205K		000-03454-58884-160	20194-7623-4009-096	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Маралды		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Курчумский 	Маралды		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Кокпектинский 	Мариногорка	12	Казахстан	DigiCipher-II	DSR 402		000-03086-22808-202	7074-7405-1013-832	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Кокпектинский 	Мариногорка	9	Хабар	DigiCipher-II	DSR 402		000-03086-22812-011	7074-7405-1013-849	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Кокпектинский 	Мариногорка		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Абайский	Медеу	12	24Kz	DigiCipher-II	DSR205K		000-03454-59423-145	20194-7623-4011-921	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Абайский 	Медеу	3	Казахстан	DigiCipher-II	DSR-4400		000-03137-98964-198	2540-7816-2001-141	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Абайский 	Медеу	21	Хабар	DigiCipher-II	DSR 402		000-03086-23654-194	7074-7407-2016-027	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский	Никольский	10	Евразия	DigiCipher-II	DSR205K		000-03454-57968-010	20194-7623-5007-886	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Зыряновский	Никольский	12	Казахстан	DigiCipher-II	DSR205K		000-03454-53488-057	20194-7622-9004-129	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Катон-карагайский	Новополяковка	34	Казахстан	DigiCipher-II	DSR-406		000-03200-79755-125	4331-2010-1001-769	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Катон-карагайский	Новополяковка	6	Хабар	DigiCipher-II	DSR-4400		000-03137-99053-025	2540-7816-2001-523	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бородулихинский	Ново-Шульба	6	Евразия	DigiCipher-II	DSR-4400		000-03137-99617-037	2540-7820-9003-856	Основной 	"ПРМ АО ""Казтелерадио"""	Искра d -3,5 м	нет			
	В-Казахстанская  	Бородулихинский	Ново-Шульба	      44    	24Kz	DigiCipher-II	DSR205K		000-03454-60005-210	20194-7623-5008-821	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бородулихинский	Ново-Шульба	2	Казахстан	DigiCipher-II	DSR-4400		000-03137-98962-170	2540-7816-2001-127	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бородулихинский	Ново-Шульба	10	Хабар	DigiCipher-II	DSR-4400		000-03137-39840-094	2540-1719-1002-224	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Бородулихинский	Ново-Шульба		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Бородулихинский	Ново-Шульба		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Уланский	Огневка	3	Евразия	DigiCipher-II	DSR205K		000-03454-54233-145	20194-7622-9027-913	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Уланский	Огневка	6	Казахстан	DigiCipher-II	DSR205K		000-03454-56261-203	20194-7622-9021-911	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Уланский	Огневка	9	Хабар	DigiCipher-II	DSR205K		000-03454-57962-140	20194-7623-5013-542	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Уланский	Огневка		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Зыряновский	Октябрьский	24	24Kz	DigiCipher-II	DSR 402		000-03086-26181-064	7074-7414-6004-226	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет		да	
	В-Казахстанская  	Зыряновский	Октябрьский	71.75	КазРВ	DigiCipher-II	DSR401		000-03427-00838-023	6154-4133-3000-521	Основной 					да	
	В-Казахстанская  	Зыряновский	Октябрьский	22	Хабар	DigiCipher-II	DSR-4400		000-03137-99189-003	2540-7816-3002-789	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Зыряновский	Октябрьский	3	Евразия	DigiCipher-II	DSR-4400		000-03137-99483-004	2540-7817-7000-764	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Зыряновский	Октябрьский	6	Казахстан	DigiCipher-II	DSR-4400		000-03137-97436-184	2540-7816-3004-844	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	В-Казахстанская  	Зыряновский	Октябрьский		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	В-Казахстанская  	Зыряновский	Октябрьский		1MUX	DVB S2	ProView 7100   				резерв						
	В-Казахстанская  	Абайский	Орда	12	Казахстан	DigiCipher-II	DSR205K		000-03454-53425-097	20194-7622-9004-907	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Абайский 	Орда	10	Хабар	DigiCipher-II	DSR 402		000-03086-28299-077	7074-7504-7004-735	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Аягузский	Оркен	26	Казахстан	DigiCipher-II	DSR205K		000-03454-56699-107	07074-7407-2016-188	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Аягузский	Оркен	28	Хабар	DigiCipher-II	DSR205K		000-03454-57464-103	20194-7623-5009-392	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Курчумский 	Шанагатты(Орловка)	3	Казахстан	DigiCipher-II	DSR205K		000-03454-56662-076	20194-7623-4003-933	Основной 	"ПРМ АО ""Казтелерадио"""	жарык d 3,5 м	нет			
	В-Казахстанская  	Кокпектинский	ПАЛАТЦЫ	6	Казахстан	DigiCipher-II	DSR205K		000-03454-58661-141	20194-7623-4005-449	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Кокпектинский	ПАЛАТЦЫ	2	Хабар	DigiCipher-II	DSR205K		000-03454-59082-011	20194-7623-4011-198	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Кокпектинский	ПАЛАТЦЫ		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Кокпектинский	Пантелеймоновка	28	Казахстан	DigiCipher-II	DSR205K		000-03454-59726-143	20194-7623-5007-787	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Кокпектинский	Пантелеймоновка	22	Хабар	DigiCipher-II	DSR205K		000-03454-59095-122	20194-7623-4018029	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Шемонаихинский	Первомайский	34	Евразия	DigiCipher-II	DSR205K		000-03454-59513-076	20194-7623-4019-378	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."	нет			
	В-Казахстанская  	Шемонаихинский	Первомайский	2	24Kz	DigiCipher-II	DSR205K		000-03454-57369-077	20194-7623-5001-593	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Шемонаихинский	Первомайский	32	Казахстан	DigiCipher-II	DSR-4400		000-03137--28780-033	2540-1718-9000-119	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Шемонаихинский	Первомайский	3	Хабар	DigiCipher-II	DSR-4400		000-03137-97458-097	2540-7816-7000-668	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Шемонаихинский	Первомайский		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Урджарский	Подгорное	28	Казахстан	DigiCipher-II	DSR 402		000-03086-29042-031	7074-7504-6002-565	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Урджарский	Подгорное	33	Хабар	DigiCipher-II	DSR 402		000-03086-26795-237	7074-7414-6004-301	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Урджарский	Подгорное		1MUX	DVB-S2	ProView 7100   				Основной 						
	В-Казахстанская  	Лениногорская ГА	Поперечное	28	Казахстан	DigiCipher-II	DSR 402		000-03086-22210-240	7074-7407-2016-355	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет			
	В-Казахстанская  	Лениногорская ГА	Поперечное	26	Хабар	DigiCipher-II	DSR205K		000-03454-57264-160	20194-7623-4014-755	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Лениногорская ГА	Поперечное	8	24Kz	DigiCipher-II	DSR205K		000-03454-57021-217	20194-7623-4013-932	Основной 	"ПРМ АО ""Казтелерадио"""					
	В-Казахстанская  	Зыряновский	Прибрежный (Аблакетка)	5	Евразия	DigiCipher-II	DSR-4400		000-03137-99568-068	2540-7820-8002-477	Основной 	"ПРМ АО ""Казтелерадио"""	280к-AZ-d 2,8м	нет			
	В-Казахстанская  	Зыряновский	Прибрежный (Аблакетка)	27	24Kz	DigiCipher-II	DSR 402		000-03086-26798-183	7074-7404-6004-318	Основной 	"ПРМ АО ""Казтелерадио"""					
